city,phone_service,multiple_lines,internet_service,internet_type,contract_type,"tenure (months)",customer_status
"Rancho Cordova",Yes,No,Yes,Cable,Month-to-Month,8,Stayed
Newman,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,35,Stayed
Woodland,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,65,Stayed
"San Diego",Yes,No,Yes,"Fiber Optic",Month-to-Month,6,Churned
Oceanside,Yes,Yes,Yes,"Fiber Optic","One Year",46,Stayed
Escondido,Yes,Yes,Yes,"Fiber Optic","One Year",62,Churned
Weimar,Yes,No,Yes,DSL,Month-to-Month,1,Churned
Yucaipa,Yes,No,Yes,"Fiber Optic",Month-to-Month,58,Stayed
Weaverville,Yes,No,No,None,"One Year",17,Stayed
Corcoran,Yes,Yes,Yes,Cable,"One Year",50,Stayed
"Big Bear City",Yes,No,Yes,DSL,Month-to-Month,4,Churned
"San Rafael",Yes,No,Yes,"Fiber Optic",Month-to-Month,8,Churned
Dinuba,Yes,No,Yes,"Fiber Optic",Month-to-Month,13,Churned
"Los Angeles",Yes,No,Yes,"Fiber Optic","One Year",37,Stayed
"Santa Ana",Yes,Yes,Yes,Cable,"One Year",41,Churned
Oceanside,No,No,Yes,DSL,"One Year",61,Stayed
"Chino Hills",Yes,No,Yes,DSL,Month-to-Month,44,Stayed
Gualala,Yes,Yes,Yes,"Fiber Optic","One Year",59,Churned
"San Jose",No,No,Yes,DSL,Month-to-Month,10,Churned
"Mountain View",Yes,No,No,None,Month-to-Month,10,Stayed
Tecate,Yes,No,Yes,DSL,"One Year",66,Stayed
"Santa Fe Springs",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,24,Churned
Sebastopol,Yes,Yes,Yes,"Fiber Optic","One Year",18,Stayed
Dublin,Yes,Yes,Yes,DSL,Month-to-Month,22,Churned
Yreka,No,No,Yes,DSL,Month-to-Month,22,Stayed
Saratoga,Yes,No,No,None,Month-to-Month,5,Stayed
Lakewood,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,6,Churned
"Santa Clarita",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Stockton,Yes,Yes,Yes,DSL,Month-to-Month,18,Stayed
"Mammoth Lakes",Yes,No,Yes,DSL,"One Year",11,Stayed
"Elk Creek",Yes,No,Yes,"Fiber Optic",Month-to-Month,47,Stayed
Likely,Yes,Yes,Yes,Cable,"One Year",54,Stayed
"Catheys Valley",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,12,Churned
Redlands,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,31,Stayed
"Mc Farland",Yes,No,Yes,DSL,Month-to-Month,11,Stayed
Exeter,No,No,Yes,Cable,Month-to-Month,40,Churned
Stockton,Yes,Yes,Yes,"Fiber Optic","One Year",11,Stayed
Miranda,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,5,Churned
"North Fork",Yes,No,No,None,"One Year",20,Stayed
Bodega,Yes,No,No,None,Month-to-Month,8,Stayed
"Canoga Park",Yes,No,Yes,"Fiber Optic",Month-to-Month,6,Churned
Redding,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,40,Churned
"Sunset Beach",Yes,Yes,Yes,Cable,Month-to-Month,23,Stayed
Murrieta,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,30,Stayed
Clovis,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,29,Stayed
Glenn,No,No,Yes,DSL,Month-to-Month,59,Stayed
Murphys,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,41,Churned
Roseville,Yes,Yes,Yes,"Fiber Optic","One Year",58,Stayed
"Woodland Hills",Yes,No,Yes,DSL,Month-to-Month,4,Stayed
Anaheim,Yes,No,Yes,"Fiber Optic",Month-to-Month,10,Churned
Orinda,Yes,No,Yes,DSL,"One Year",39,Stayed
"San Dimas",Yes,No,No,None,Month-to-Month,31,Churned
Northridge,No,No,Yes,DSL,Month-to-Month,2,Churned
Sacramento,Yes,Yes,Yes,DSL,"One Year",31,Stayed
"San Juan Bautista",No,No,Yes,Cable,Month-to-Month,4,Churned
"La Mesa",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,33,Stayed
"La Quinta",Yes,No,No,None,"One Year",4,Stayed
"San Clemente",Yes,No,Yes,"Fiber Optic",Month-to-Month,11,Stayed
"Thousand Oaks",Yes,Yes,Yes,"Fiber Optic","One Year",23,Stayed
Ventura,Yes,No,Yes,"Fiber Optic",Month-to-Month,6,Churned
Riverside,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"La Mirada",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,15,Stayed
Torrance,Yes,Yes,Yes,DSL,"One Year",50,Stayed
"Dana Point",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"Culver City",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,2,Churned
"Desert Hot Springs",No,No,Yes,Cable,"One Year",33,Stayed
Tehachapi,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,38,Churned
Artesia,Yes,Yes,Yes,"Fiber Optic","One Year",60,Stayed
Blocksburg,Yes,Yes,Yes,DSL,"One Year",25,Stayed
"Death Valley",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,60,Stayed
"Los Olivos",Yes,No,Yes,Cable,"One Year",34,Stayed
Blythe,Yes,No,Yes,"Fiber Optic",Month-to-Month,27,Stayed
"Santa Ana",Yes,No,Yes,"Fiber Optic",Month-to-Month,17,Churned
"Oak Run",No,No,Yes,Cable,Month-to-Month,15,Stayed
"Lemon Cove",Yes,No,Yes,DSL,"One Year",42,Stayed
"San Diego",Yes,No,Yes,DSL,"One Year",52,Stayed
"Woodland Hills",Yes,No,Yes,DSL,"One Year",57,Stayed
Calexico,Yes,No,No,None,"One Year",7,Stayed
Glendale,Yes,Yes,Yes,"Fiber Optic","One Year",47,Stayed
"Huntington Beach",Yes,Yes,Yes,"Fiber Optic","One Year",65,Stayed
Bakersfield,Yes,Yes,No,None,Month-to-Month,1,Churned
Dixon,Yes,No,Yes,"Fiber Optic",Month-to-Month,4,Churned
Escondido,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,37,Churned
Graton,Yes,No,Yes,"Fiber Optic",Month-to-Month,7,Churned
Lamont,Yes,Yes,Yes,DSL,"One Year",35,Stayed
"San Jose",Yes,No,Yes,DSL,"One Year",65,Stayed
"Kings Beach",Yes,Yes,Yes,Cable,"One Year",59,Stayed
Vallejo,No,No,Yes,DSL,Month-to-Month,22,Stayed
"Hawaiian Gardens",No,No,Yes,Cable,Month-to-Month,54,Stayed
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,44,Stayed
"Cedar Glen",Yes,No,No,None,"One Year",50,Stayed
Brea,Yes,No,No,None,"One Year",13,Stayed
"San Anselmo",No,No,Yes,DSL,Month-to-Month,3,Churned
Meridian,Yes,No,Yes,DSL,"One Year",14,Stayed
Meridian,Yes,No,Yes,"Fiber Optic",Month-to-Month,31,Stayed
Encino,Yes,No,Yes,"Fiber Optic",Month-to-Month,20,Stayed
"Pope Valley",Yes,No,Yes,DSL,Month-to-Month,12,Stayed
"Little River",No,No,Yes,Cable,"One Year",40,Stayed
Lakewood,No,No,Yes,DSL,Month-to-Month,6,Churned
Berkeley,Yes,No,Yes,"Fiber Optic",Month-to-Month,4,Churned
"North Fork",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,1,Churned
"Mount Laguna",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,12,Churned
Westwood,Yes,No,Yes,"Fiber Optic",Month-to-Month,4,Churned
"Chula Vista",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,71,Stayed
Bakersfield,Yes,Yes,Yes,DSL,Month-to-Month,33,Stayed
"Mission Viejo",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Jamul,Yes,Yes,Yes,"Fiber Optic","One Year",70,Stayed
Auburn,No,No,Yes,DSL,Month-to-Month,51,Stayed
Termo,Yes,Yes,Yes,DSL,Month-to-Month,4,Churned
Fairfield,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,66,Churned
"San Jose",Yes,Yes,Yes,Cable,"One Year",53,Churned
"Tahoe Vista",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Orosi,No,No,Yes,DSL,Month-to-Month,4,Churned
"Seal Beach",Yes,Yes,Yes,"Fiber Optic","One Year",64,Stayed
Artesia,No,No,Yes,DSL,"One Year",71,Stayed
"West Sacramento",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,27,Churned
Chualar,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,9,Churned
Bloomington,Yes,No,Yes,"Fiber Optic",Month-to-Month,7,Churned
Kerman,Yes,No,No,None,"One Year",33,Stayed
Pasadena,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,15,Churned
Temecula,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,4,Churned
"Simi Valley",Yes,No,Yes,"Fiber Optic",Month-to-Month,26,Churned
Anza,Yes,No,Yes,"Fiber Optic",Month-to-Month,10,Stayed
"Newport Coast",Yes,Yes,Yes,"Fiber Optic","One Year",67,Churned
Escondido,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,10,Churned
Coleville,Yes,Yes,No,None,"One Year",65,Stayed
Dunnigan,Yes,No,No,None,"One Year",8,Churned
"Long Beach",Yes,No,Yes,"Fiber Optic",Month-to-Month,48,Stayed
"Forest Ranch",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,41,Stayed
Buttonwillow,No,No,Yes,DSL,Month-to-Month,1,Churned
Newman,Yes,No,Yes,"Fiber Optic",Month-to-Month,6,Churned
Traver,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,37,Stayed
Gardena,Yes,Yes,Yes,"Fiber Optic","One Year",56,Stayed
Mcarthur,Yes,No,No,None,"One Year",7,Stayed
Blocksburg,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,4,Stayed
Irvine,Yes,No,Yes,DSL,Month-to-Month,6,Stayed
Weimar,Yes,No,Yes,DSL,"One Year",8,Stayed
Woodlake,Yes,No,No,None,"One Year",22,Stayed
Byron,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,29,Churned
Visalia,No,No,Yes,DSL,Month-to-Month,61,Stayed
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,30,Churned
"Rancho Cucamonga",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,25,Churned
"San Diego",Yes,No,No,None,"One Year",5,Stayed
"San Jose",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,9,Churned
"San Mateo",Yes,Yes,Yes,"Fiber Optic","One Year",65,Stayed
"Shingle Springs",Yes,No,Yes,"Fiber Optic","One Year",29,Stayed
"Los Angeles",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,12,Stayed
Ione,Yes,Yes,Yes,"Fiber Optic","One Year",55,Stayed
"Corona Del Mar",Yes,No,Yes,"Fiber Optic",Month-to-Month,11,Churned
Fulton,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,34,Stayed
Lookout,Yes,No,Yes,Cable,"One Year",36,Stayed
"San Mateo",Yes,No,Yes,Cable,Month-to-Month,10,Stayed
Raymond,Yes,No,Yes,"Fiber Optic",Month-to-Month,43,Stayed
Orleans,Yes,No,No,None,Month-to-Month,8,Stayed
Fallbrook,Yes,No,Yes,Cable,Month-to-Month,4,Churned
Sunnyvale,Yes,No,Yes,"Fiber Optic",Month-to-Month,17,Churned
Mccloud,Yes,Yes,Yes,Cable,Month-to-Month,6,Stayed
Sloughhouse,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,2,Churned
Escondido,Yes,No,Yes,Cable,Month-to-Month,1,Churned
"San Diego",Yes,Yes,Yes,"Fiber Optic","One Year",64,Churned
Inverness,No,No,Yes,DSL,"One Year",39,Stayed
"El Cajon",Yes,No,Yes,DSL,"One Year",46,Stayed
Vallejo,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Corona,Yes,Yes,Yes,"Fiber Optic","One Year",32,Stayed
"Pacific Grove",Yes,No,No,None,Month-to-Month,5,Stayed
"Marina Del Rey",No,No,Yes,DSL,Month-to-Month,2,Churned
Hemet,Yes,No,Yes,"Fiber Optic",Month-to-Month,2,Churned
"La Jolla",Yes,Yes,Yes,"Fiber Optic","One Year",17,Stayed
Alleghany,Yes,No,No,None,Month-to-Month,5,Stayed
Lakewood,Yes,Yes,No,None,Month-to-Month,10,Stayed
"Harbor City",Yes,Yes,Yes,DSL,"One Year",41,Stayed
Fresno,Yes,Yes,Yes,"Fiber Optic","One Year",63,Churned
"Long Beach",Yes,No,No,None,"One Year",22,Stayed
"Rancho Santa Fe",Yes,No,Yes,"Fiber Optic","One Year",47,Stayed
Greenview,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,10,Churned
"Amador City",Yes,No,Yes,"Fiber Optic",Month-to-Month,9,Churned
Oceanside,Yes,No,Yes,"Fiber Optic","One Year",35,Stayed
"Palo Cedro",Yes,No,Yes,"Fiber Optic",Month-to-Month,2,Churned
"San Jose",No,No,Yes,DSL,Month-to-Month,24,Stayed
Temecula,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,15,Churned
Ahwahnee,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"Soda Springs",No,No,Yes,DSL,Month-to-Month,24,Churned
"Los Molinos",No,No,Yes,DSL,Month-to-Month,21,Stayed
"Costa Mesa",Yes,Yes,Yes,Cable,Month-to-Month,11,Stayed
Pioneertown,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,50,Stayed
Winton,Yes,No,No,None,"One Year",13,Stayed
"Mount Hamilton",Yes,Yes,Yes,"Fiber Optic","One Year",71,Stayed
"Los Angeles",Yes,No,No,None,Month-to-Month,9,Stayed
"Rancho Cucamonga",No,No,Yes,DSL,"One Year",53,Churned
Redding,Yes,No,Yes,"Fiber Optic",Month-to-Month,63,Stayed
Bonsall,Yes,No,Yes,"Fiber Optic","One Year",5,Stayed
Riverside,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,42,Stayed
"Mt Baldy",Yes,No,Yes,DSL,Month-to-Month,24,Stayed
"San Diego",Yes,Yes,Yes,"Fiber Optic","One Year",56,Stayed
"White Water",Yes,Yes,Yes,"Fiber Optic","One Year",52,Stayed
"Sequoia National Park",Yes,Yes,No,None,"One Year",25,Stayed
Camptonville,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,32,Stayed
"Los Angeles",Yes,No,Yes,DSL,Month-to-Month,16,Churned
Orick,No,No,Yes,Cable,"One Year",26,Stayed
Chilcoot,Yes,No,No,None,"One Year",49,Stayed
Gasquet,Yes,No,Yes,"Fiber Optic",Month-to-Month,5,Churned
"Huntington Beach",No,No,Yes,DSL,Month-to-Month,13,Churned
Hayward,Yes,No,No,None,"One Year",28,Stayed
"Buena Park",Yes,No,No,None,"One Year",49,Stayed
"Rancho Mirage",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,18,Stayed
Bakersfield,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,37,Stayed
"El Cerrito",No,No,Yes,DSL,"One Year",7,Stayed
"Sequoia National Park",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,45,Stayed
"San Marino",Yes,No,Yes,DSL,Month-to-Month,19,Stayed
Fairfax,Yes,No,No,None,"One Year",29,Stayed
Jamestown,Yes,No,Yes,"Fiber Optic","One Year",61,Stayed
Altadena,Yes,No,Yes,Cable,Month-to-Month,4,Stayed
"Los Angeles",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,38,Stayed
Caspar,Yes,No,Yes,Cable,Month-to-Month,1,Churned
Gerber,No,No,Yes,DSL,"One Year",15,Stayed
"Rough And Ready",Yes,No,Yes,"Fiber Optic",Month-to-Month,52,Churned
"Rancho Mirage",Yes,No,No,None,Month-to-Month,2,Churned
"San Diego",Yes,No,Yes,Cable,Month-to-Month,24,Churned
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,43,Stayed
Hopland,Yes,No,Yes,Cable,Month-to-Month,2,Churned
"San Diego",Yes,No,Yes,Cable,Month-to-Month,24,Stayed
Westport,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,41,Churned
Fallbrook,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,14,Churned
"Tahoe Vista",Yes,No,Yes,Cable,Month-to-Month,27,Stayed
Descanso,Yes,No,Yes,DSL,"One Year",35,Stayed
Platina,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"Santa Rosa",Yes,No,Yes,"Fiber Optic",Month-to-Month,43,Churned
Vallejo,Yes,Yes,Yes,"Fiber Optic","One Year",53,Stayed
"Rio Oso",Yes,Yes,Yes,DSL,"One Year",17,Churned
"Mc Kittrick",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,20,Churned
"Loma Mar",Yes,No,No,None,"One Year",6,Stayed
Anaheim,Yes,Yes,Yes,Cable,Month-to-Month,4,Churned
Vernalis,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Escondido,Yes,Yes,Yes,"Fiber Optic","One Year",68,Stayed
Modesto,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,2,Churned
"Sutter Creek",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,45,Churned
Temecula,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,40,Churned
Herlong,Yes,No,Yes,"Fiber Optic",Month-to-Month,34,Stayed
Cerritos,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,13,Stayed
"Shaver Lake",Yes,No,No,None,Month-to-Month,1,Churned
"Camp Nelson",No,No,Yes,DSL,"One Year",35,Stayed
Sacramento,Yes,No,No,None,"One Year",35,Stayed
"San Carlos",Yes,No,No,None,Month-to-Month,12,Stayed
"Morro Bay",Yes,No,Yes,"Fiber Optic",Month-to-Month,35,Churned
"Big Bend",Yes,Yes,Yes,"Fiber Optic","One Year",63,Churned
"Stinson Beach",Yes,No,Yes,DSL,Month-to-Month,41,Stayed
Mckinleyville,Yes,Yes,Yes,"Fiber Optic","One Year",72,Churned
Salyer,Yes,Yes,Yes,DSL,"One Year",59,Stayed
"San Diego",No,No,Yes,Cable,Month-to-Month,25,Churned
Guadalupe,Yes,No,Yes,"Fiber Optic","One Year",40,Stayed
"Santa Ana",No,No,Yes,Cable,"One Year",21,Churned
Ranchita,Yes,Yes,Yes,"Fiber Optic","One Year",68,Stayed
Duarte,Yes,No,No,None,"One Year",11,Stayed
Pleasanton,No,No,Yes,Cable,Month-to-Month,36,Stayed
"Stirling City",Yes,Yes,Yes,DSL,"One Year",37,Stayed
"Santa Monica",No,No,Yes,DSL,Month-to-Month,39,Churned
Fontana,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,18,Stayed
Reseda,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,19,Stayed
Downieville,Yes,No,Yes,"Fiber Optic",Month-to-Month,4,Churned
"La Verne",Yes,No,No,None,"One Year",0,Stayed
Orland,Yes,Yes,Yes,"Fiber Optic","One Year",56,Stayed
"Chula Vista",Yes,Yes,Yes,DSL,"One Year",30,Stayed
"Angelus Oaks",Yes,No,No,None,"One Year",8,Stayed
Independence,Yes,No,Yes,"Fiber Optic",Month-to-Month,8,Churned
"San Diego",Yes,Yes,Yes,"Fiber Optic","One Year",56,Churned
Riverside,Yes,Yes,Yes,Cable,Month-to-Month,31,Churned
Carlsbad,No,No,Yes,DSL,Month-to-Month,2,Churned
"Buena Park",Yes,No,Yes,Cable,Month-to-Month,1,Churned
Sacramento,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,4,Churned
Sacramento,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,5,Churned
"Apple Valley",Yes,No,Yes,"Fiber Optic",Month-to-Month,17,Churned
Topanga,Yes,No,No,None,Month-to-Month,1,Churned
Pioneer,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,24,Churned
Fallbrook,Yes,No,Yes,DSL,Month-to-Month,12,Churned
Hinkley,Yes,No,Yes,"Fiber Optic",Month-to-Month,4,Churned
Sacramento,Yes,No,Yes,DSL,Month-to-Month,2,Churned
"San Francisco",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,10,Churned
Berkeley,Yes,Yes,Yes,Cable,Month-to-Month,17,Churned
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,1,Churned
"South Pasadena",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,11,Churned
"La Puente",Yes,No,Yes,"Fiber Optic",Month-to-Month,2,Churned
Guadalupe,Yes,No,Yes,"Fiber Optic",Month-to-Month,4,Churned
Ontario,Yes,No,Yes,"Fiber Optic",Month-to-Month,6,Churned
"Long Beach",Yes,No,Yes,"Fiber Optic","One Year",40,Churned
"Angels Camp",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,32,Churned
Valencia,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,55,Churned
"Garden Valley",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,2,Churned
"Five Points",Yes,Yes,Yes,"Fiber Optic","One Year",62,Churned
"Hathaway Pines",Yes,No,Yes,"Fiber Optic",Month-to-Month,12,Churned
"San Bernardino",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,33,Churned
Fresno,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"Grass Valley",Yes,No,Yes,DSL,Month-to-Month,9,Churned
"La Puente",No,No,Yes,DSL,"One Year",48,Churned
"Lake Hughes",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,10,Churned
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,1,Churned
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,3,Churned
"Rancho Cordova",Yes,Yes,Yes,"Fiber Optic","One Year",41,Churned
"San Jose",Yes,No,Yes,Cable,Month-to-Month,1,Churned
"San Francisco",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"Round Mountain",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,1,Churned
Williams,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,7,Churned
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,5,Churned
Alpine,Yes,No,Yes,Cable,Month-to-Month,1,Churned
"Harbor City",No,No,Yes,DSL,Month-to-Month,1,Churned
"San Diego",Yes,Yes,Yes,Cable,"One Year",67,Churned
Lomita,Yes,No,Yes,"Fiber Optic",Month-to-Month,12,Churned
Fallbrook,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,27,Churned
"Valley Ford",Yes,No,Yes,DSL,Month-to-Month,2,Churned
"San Jose",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,2,Churned
"South Dos Palos",Yes,No,Yes,"Fiber Optic","One Year",60,Churned
Fontana,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,8,Churned
Glendale,No,No,Yes,Cable,Month-to-Month,57,Churned
Kerman,Yes,No,Yes,"Fiber Optic",Month-to-Month,6,Churned
"El Monte",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,56,Churned
"San Diego",Yes,No,Yes,"Fiber Optic",Month-to-Month,13,Churned
Calexico,Yes,No,Yes,DSL,Month-to-Month,6,Churned
Fallbrook,Yes,No,No,None,Month-to-Month,1,Churned
Hayward,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,2,Churned
Greenwood,Yes,No,Yes,DSL,"One Year",5,Churned
Salida,Yes,No,Yes,DSL,Month-to-Month,1,Churned
Westmorland,Yes,No,Yes,Cable,Month-to-Month,1,Churned
Clements,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,1,Churned
Cottonwood,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Lakeside,Yes,No,No,None,Month-to-Month,14,Stayed
"Happy Camp",Yes,Yes,Yes,"Fiber Optic","One Year",49,Churned
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,50,Churned
"Marina Del Rey",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,3,Churned
"Newport Beach",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,57,Churned
"La Mesa",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,39,Churned
Taft,Yes,No,Yes,"Fiber Optic",Month-to-Month,17,Churned
"Los Angeles",Yes,No,Yes,"Fiber Optic",Month-to-Month,8,Churned
Petrolia,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,26,Churned
"San Francisco",Yes,Yes,Yes,DSL,"One Year",18,Churned
"San Diego",Yes,No,Yes,"Fiber Optic",Month-to-Month,8,Churned
Bridgeville,No,No,Yes,DSL,Month-to-Month,3,Churned
Bakersfield,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Downey,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,10,Churned
"Diamond Springs",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,4,Churned
Dobbins,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,19,Churned
"San Francisco",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,39,Churned
Temecula,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,1,Churned
Seaside,No,No,Yes,DSL,Month-to-Month,37,Churned
Lakeport,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"Pebble Beach",Yes,Yes,Yes,"Fiber Optic","One Year",59,Churned
"Mill Creek",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,15,Churned
"San Diego",No,No,Yes,DSL,Month-to-Month,5,Churned
"Sierra City",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,35,Churned
"San Diego",Yes,No,Yes,"Fiber Optic",Month-to-Month,6,Churned
"Five Points",Yes,Yes,Yes,"Fiber Optic","One Year",28,Churned
Edwards,No,No,Yes,Cable,Month-to-Month,3,Churned
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,34,Churned
Jackson,Yes,Yes,Yes,Cable,Month-to-Month,1,Churned
Hayward,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,33,Churned
Bonsall,No,No,Yes,DSL,Month-to-Month,18,Churned
Healdsburg,Yes,No,Yes,"Fiber Optic",Month-to-Month,28,Churned
"Travis Afb",Yes,Yes,Yes,"Fiber Optic","One Year",67,Churned
Bayside,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,16,Churned
Pearblossom,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,13,Churned
Monrovia,Yes,No,Yes,"Fiber Optic",Month-to-Month,4,Churned
Aromas,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,5,Churned
Princeton,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,8,Churned
Elverta,Yes,Yes,Yes,"Fiber Optic",Month-to-Month,25,Churned
"San Diego",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,12,Churned
"Redwood City",Yes,No,Yes,"Fiber Optic",Month-to-Month,21,Churned
Johannesburg,Yes,No,Yes,DSL,Month-to-Month,2,Churned
"Yorba Linda",Yes,Yes,Yes,"Fiber Optic",Month-to-Month,65,Churned
"Carmel By The Sea",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
"San Diego",Yes,Yes,Yes,"Fiber Optic","One Year",58,Churned
Sausalito,Yes,Yes,Yes,DSL,Month-to-Month,15,Churned
Turlock,Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
Sonoma,Yes,No,Yes,"Fiber Optic",Month-to-Month,6,Churned
"Sierra Madre",No,No,Yes,DSL,Month-to-Month,58,Churned
Sacramento,Yes,Yes,Yes,Cable,Month-to-Month,16,Churned
Alpine,Yes,No,Yes,"Fiber Optic",Month-to-Month,8,Churned
"Van Nuys",Yes,No,Yes,"Fiber Optic",Month-to-Month,1,Churned
